Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,280.8510,8,1874,3368,157.3774,223.3828,8,8,0.7954,5242
benchmark_D1,40.6055,12,2287,2001,75.0465,95.2617,12,12,2.3460,4288
benchmark_i1,236.9265,10,3518,3570,181.8945,226.0000,10,10,0.9539,7088
boon,0.0681,6,108,30,0.2031,0.2031,6,6,2.9827,138
butcher,2.4470,7,199,385,36.2227,54.4727,7,7,22.2610,584
butcher8,17.1133,8,571,1333,57.5093,63.4570,8,8,3.7081,1904
camera1s,1.1577,6,177,95,27.7773,55.3516,6,6,47.8117,272
caprasse,0.0832,4,65,194,0.3906,0.3906,4,4,4.6950,259
cassou,1.9907,5,39,154,40.3333,62.1953,4,5,31.2429,193
chandra4,0.0234,4,19,7,0.1875,0.1875,4,4,8.0128,26
chandra5,0.0970,5,59,48,0.3320,0.3320,5,5,3.4230,107
chandra6,0.4942,6,188,266,0.1992,0.1992,6,6,0.4031,454
chemequ,0.4083,5,81,60,0.2031,0.2031,5,5,0.4975,141
chemequs,1.0999,5,95,77,29.2500,58.2969,5,5,53.0020,172
chemkin,519.3553,11,2210,3917,207.9429,332.2539,11,11,0.6397,6127
cohn2,3.3390,4,0,439,43.3955,59.9727,4,4,17.9613,439
cohn3,7193.2137,4,81,7359,587.6297,623.5469,4,4,0.0867,7440
comb3000,0.1001,10,151,19,0.2031,0.2031,10,10,2.0292,170
comb3000s,0.1231,10,151,20,0.2031,0.2031,10,10,1.6501,171
conform1,0.0218,3,9,30,0.1875,0.1875,3,3,8.6009,39
cpdm5,40.4242,5,348,2585,61.9123,64.5781,5,5,1.5975,2933
cyclic5,0.2456,5,98,351,0.1992,0.1992,5,5,0.8112,449
cyclic6,10.5899,6,548,3175,52.4812,58.9414,6,6,5.5658,3723
d1,50.1630,12,2279,1990,81.8532,104.6094,12,12,2.0854,4269
des18_3,3.6478,8,275,375,41.4668,55.9648,8,8,15.3421,650
des22_24,3.8412,10,501,373,45.2258,59.0039,10,10,15.3608,874
dessin1,3.2411,8,275,379,41.3877,55.9336,8,8,17.2576,654
dessin2,5.8723,10,558,338,49.3521,60.9141,10,10,10.3731,896
eco7,1.4492,7,267,229,26.9531,53.7031,7,7,37.0571,496
eco8,15.8889,8,825,1028,55.0614,59.6211,8,8,3.7524,1853
eco9,201.3882,9,2405,3873,72.5249,74.3281,9,9,0.3691,6278
extcyc4,0.2945,5,120,457,0.1992,0.1992,5,5,0.6765,577
extcyc5,58.2118,6,738,9171,69.0038,81.1289,6,6,1.3937,9909
f633,0.9916,10,318,630,26.3457,52.4961,9,10,52.9408,948
f744,292.9767,12,3654,4399,111.2032,126.3984,12,12,0.4314,8053
fabrice24,129.7030,9,1225,1053,110.1136,130.4805,9,9,1.0060,2278
filter9,130.3638,9,5921,16640,77.8758,90.2500,9,9,0.6923,22561
geneig,0.5113,6,94,53,0.1992,0.1992,6,6,0.3896,147
hairer1,0.0319,8,42,24,0.2578,0.2578,6,8,8.0819,66
hcyclic5,0.1508,6,89,542,0.2070,0.2070,5,6,1.3729,631
hcyclic6,4.8576,7,273,4134,46.3275,56.0234,6,7,11.5332,4407
heart,0.0636,8,75,3,0.2031,0.2031,8,8,3.1938,78
hemmecke,0.0417,4,11,14,0.2031,0.2031,3,4,4.8711,25
hf744,157.1182,13,1906,18074,76.2440,81.8125,12,13,0.5207,19980
hietarinta1,165.1406,10,6692,6468,103.0396,124.7305,62,10,0.7553,13160
hunecke,0.0052,5,1,15,0.2031,0.2031,8,5,39.0625,16
i1,227.9150,12,3496,3539,195.7644,240.3281,10,12,1.0545,7035
issac97,0.1155,4,25,18,0.2031,0.2031,4,4,1.7587,43
jcf26,173.0036,34,3643,1070,130.0745,157.4453,34,34,0.9101,4713
katsura6,5.7753,7,280,431,47.8047,56.2031,7,7,9.7316,711
katsura7,49.1065,8,719,1753,62.9995,65.7578,8,8,1.3391,2472
katsura8,451.5091,9,2237,7420,101.3586,108.5000,9,9,0.2403,9657
kin1,47.9170,12,2022,1797,81.2699,101.1953,12,12,2.1119,3819
kinema,6.2215,9,413,396,49.6574,59.1641,9,9,9.5096,809
kotsireas,357.3355,7,747,2964,281.9346,344.6992,6,7,0.9646,3711
ku10,0.1040,10,795,185,0.2031,0.2031,10,10,1.9531,980
lanconelli,0.0037,11,7,2,0.3945,0.3945,4,11,106.6301,9
lichtblau,0.6082,3,4,116,0.1836,0.1836,2,3,0.3019,120
liu,0.0399,6,22,59,0.2031,0.2031,4,6,5.0909,81
lorentz,0.0242,4,27,15,0.3828,0.3828,4,4,15.8187,42
matrix,1.8916,16,4951,6873,35.7487,53.6797,16,16,28.3779,11824
mickey,0.0002,2,1,0,0.2188,0.2188,2,2,1093.7500,1
morgenstern,0.1517,9,114,162,0.2148,0.2148,5,9,1.4162,276
noon5,6.3546,5,304,2047,47.4358,55.7656,5,5,8.7756,2351
noon6,168.4159,6,1421,16153,66.9761,69.0820,6,6,0.4102,17574
puma,0.0460,8,84,7,0.2656,0.2656,8,8,5.7745,91
quadfor2,0.0015,5,8,0,0.2031,0.2031,4,5,135.4167,8
quadgrid,0.0243,6,22,3,0.1992,0.1992,5,6,8.1983,25
rabmo,1.9586,9,318,75,36.0951,54.1758,9,9,27.6605,393
rbpl,114.1962,8,1462,7324,72.4790,79.0273,6,8,0.6920,8786
rbpl24,125.1279,9,1225,1061,109.8617,129.2891,9,9,1.0333,2286
redcyc5,0.2303,6,93,160,0.1914,0.1914,5,6,0.8311,253
redcyc6,9.3862,7,414,1962,50.1816,56.3242,6,7,6.0007,2376
redeco10,140.0256,10,7418,24869,72.3378,76.9805,10,10,0.5498,32287
