Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,263.9252,8,1904,3478,149.2765,209.0625,8,8,0.7921,5382
benchmark_D1,56.5300,12,2484,2267,79.4693,105.7266,12,12,1.8703,4751
benchmark_i1,249.9465,10,3556,3613,211.2176,340.9414,10,10,1.3641,7169
boon,0.0698,6,108,32,27.1289,52.5430,6,6,752.7646,140
butcher,2.2702,7,194,363,41.3848,54.5820,7,7,24.0428,557
butcher8,16.3916,8,568,1325,56.9655,61.7500,8,8,3.7672,1893
camera1s,1.2123,6,177,96,38.4492,58.1523,6,6,47.9686,273
caprasse,0.1148,4,65,183,27.1641,52.7148,4,4,459.1885,248
cassou,1.9691,5,39,155,46.1445,63.0156,4,5,32.0022,194
chandra4,0.0243,4,19,7,26.8633,52.4531,4,4,2158.5648,26
chandra5,0.1167,5,59,42,27.4609,53.3125,5,5,456.8338,101
chandra6,0.6463,6,188,248,27.7051,54.1094,6,6,83.7218,436
chemequ,0.4949,5,84,61,28.1777,54.8828,5,5,110.8968,145
chemequs,1.0063,5,95,80,41.0846,62.4062,5,5,62.0156,175
chemkin,518.4971,11,2210,3906,208.8075,335.8828,11,11,0.6478,6116
cohn2,3.0195,4,0,456,46.8773,58.8086,4,4,19.4763,456
cohn3,TIMEOUT (7200.0000с),4,,,,,4,4,,
comb3000,0.1222,10,151,14,27.4746,53.5117,10,10,437.9028,165
comb3000s,0.1435,10,151,17,28.3359,55.1055,10,10,384.0102,168
conform1,0.0226,3,9,31,26.9707,52.3008,3,3,2314.1939,40
cpdm5,34.8550,5,339,2476,62.0188,65.1758,5,5,1.8699,2815
cyclic5,0.3038,5,113,381,27.5488,53.5469,5,5,176.2570,494
cyclic6,11.1207,6,548,3168,54.0261,59.4414,6,6,5.3451,3716
d1,64.5426,12,2767,2763,79.4360,105.1758,12,12,1.6296,5530
des18_3,3.3019,8,275,375,45.1047,57.7891,8,8,17.5018,650
des22_24,4.7538,10,501,353,49.6892,60.0000,10,10,12.6215,854
dessin1,3.3312,8,275,376,45.1555,57.6484,8,8,17.3056,651
