Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,241.8274,8,1933,3526,140.4721,192.4336,8,8,0.7957,5459
benchmark_D1,73.5498,12,2802,2848,85.3891,110.8125,12,12,1.5066,5650
benchmark_i1,241.2586,10,3546,3582,191.8288,305.1172,10,10,1.2647,7128
boon,0.0663,6,108,33,27.0684,52.5312,6,6,792.3265,141
butcher,2.2569,7,194,362,41.2627,54.6641,7,7,24.2209,556
butcher8,16.2677,8,568,1337,56.9581,61.7461,8,8,3.7956,1905
camera1s,1.2361,6,177,95,38.5547,58.1758,6,6,47.0640,272
caprasse,0.1135,4,65,185,27.1543,52.7305,4,4,464.5856,250
cassou,1.9012,5,39,155,46.3955,62.8828,4,5,33.0753,194
chandra4,0.0231,4,19,7,27.0391,52.4844,4,4,2272.0509,26
chandra5,0.1181,5,59,42,27.3809,53.3242,5,5,451.5175,101
chandra6,0.6581,6,188,248,27.8887,54.1836,6,6,82.3334,436
chemequ,0.4682,5,84,62,28.6055,54.8477,5,5,117.1458,146
chemequs,0.9993,5,95,79,41.2409,62.4648,5,5,62.5086,174
chemkin,394.2324,11,2157,3777,162.9280,271.1094,11,11,0.6877,5934
cohn2,2.7372,4,0,449,46.9734,58.8203,4,4,21.4892,449
cohn3,TIMEOUT (7200.0000с),4,,,,,4,4,,
comb3000,0.1151,10,151,14,27.4707,53.5586,10,10,465.3223,165
comb3000s,0.1538,10,151,14,28.5449,55.3516,10,10,359.8931,165
conform1,0.0218,3,9,31,27.0020,52.2930,3,3,2398.7600,40
cpdm5,35.6036,5,339,2477,61.6020,64.4805,5,5,1.8111,2816
cyclic5,0.3148,5,113,381,27.5625,53.5703,5,5,170.1725,494
cyclic6,18.2415,6,574,4453,55.4834,59.2578,6,6,3.2485,5027
d1,49.8314,12,2581,2353,75.5276,101.1953,12,12,2.0308,4934
des18_3,3.3027,8,275,377,45.1359,57.8477,8,8,17.5153,652
des22_24,5.0905,10,501,348,49.6869,59.9375,10,10,11.7744,849
dessin1,3.3923,8,275,375,45.1539,57.7891,8,8,17.0354,650
dessin2,6.9819,10,558,314,52.6150,61.7500,10,10,8.8443,872
eco7,1.7656,7,272,233,41.1357,54.4531,7,7,30.8411,505
eco8,11.7377,8,777,948,53.8920,58.9102,8,8,5.0189,1725
eco9,172.8079,9,2312,3735,70.4119,72.4180,9,9,0.4191,6047
extcyc4,0.3251,5,120,394,27.4473,53.4141,5,5,164.3004,514
extcyc5,59.6868,6,738,9168,69.9281,83.9258,6,6,1.4061,9906
f633,1.3761,10,318,584,36.2656,53.2422,9,10,38.6906,902
f744,243.2493,12,3711,4172,103.9101,118.8867,12,12,0.4887,7883
fabrice24,105.1993,9,1227,1019,107.0592,129.6641,9,9,1.2326,2246
filter9,130.4272,9,5573,15460,84.5744,98.6680,9,9,0.7565,21033
geneig,0.5516,6,94,50,27.8105,54.2344,6,6,98.3219,144
