Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,448.1406,8,1933,3552,145.3287,193.9805,8,8,0.4329,5485
benchmark_D1,78.2685,12,2279,2003,80.1376,102.8828,12,12,1.3145,4282
benchmark_i1,408.4467,10,3518,3556,186.4006,232.1406,10,10,0.5683,7074
boon,0.0986,6,108,29,0.3984,0.3984,6,6,4.0406,137
butcher,3.5895,7,199,393,40.6855,54.5352,7,7,15.1930,592
butcher8,26.8089,8,569,1330,59.5572,66.7383,8,8,2.4894,1899
camera1s,1.6306,6,177,96,27.8301,54.9141,6,6,33.6772,273
caprasse,0.1531,4,65,188,0.1914,0.1914,4,4,1.2502,253
cassou,2.9425,5,39,154,39.2982,61.3008,4,5,20.8329,193
chandra4,0.0340,4,19,7,1.0273,1.0273,4,4,30.2147,26
chandra5,0.1351,5,59,48,0.1992,0.1992,5,5,1.4745,107
chandra6,0.7519,6,188,262,0.0996,0.1992,6,6,0.2649,450
chemequ,0.5872,5,81,60,0.2031,0.2031,5,5,0.3459,141
chemequs,1.5317,5,95,79,29.1094,57.8164,5,5,37.7466,174
chemkin,825.0066,11,2210,3914,197.7055,324.6602,11,11,0.3935,6124
cohn2,3.8864,4,0,417,42.6172,57.9609,4,4,14.9138,417
cohn3,3714.8349,4,79,7341,507.8188,567.3125,4,4,0.1527,7420
comb3000,0.1286,10,151,19,0.2031,0.2031,10,10,1.5793,170
comb3000s,0.1519,10,151,20,0.3125,0.3125,10,10,2.0573,171
conform1,0.0273,3,9,30,0.1992,0.1992,3,3,7.2967,39
cpdm5,56.9220,5,348,2586,62.0093,64.6016,5,5,1.1349,2934
cyclic5,0.3107,5,98,350,0.1992,0.1992,5,5,0.6411,448
cyclic6,18.1816,6,564,3891,55.5917,63.3516,6,6,3.4844,4455
d1,80.5868,12,2279,1994,84.8789,106.0820,12,12,1.3164,4273
des18_3,5.2207,8,275,375,44.3062,56.1133,8,8,10.7482,650
des22_24,6.0525,10,501,370,47.1022,59.3164,10,10,9.8003,871
dessin1,5.1486,8,275,377,44.3844,56.3086,8,8,10.9367,652
dessin2,9.2279,10,558,333,50.2432,60.7305,10,10,6.5812,891
