test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
assur44,280.851,8,1874.0,3368.0,157.3774,223.3828,8,8,0.7954,5242.0,CPU,1,data/series_1/CPU/summary_1.csv,assur44,280.851,,False,280.851
benchmark_D1,40.6055,12,2287.0,2001.0,75.0465,95.2617,12,12,2.346,4288.0,CPU,1,data/series_1/CPU/summary_1.csv,benchmark_d1,40.6055,,False,40.6055
benchmark_i1,236.9265,10,3518.0,3570.0,181.8945,226.0,10,10,0.9539,7088.0,CPU,1,data/series_1/CPU/summary_1.csv,benchmark_i1,236.9265,,False,236.9265
boon,0.0681,6,108.0,30.0,0.2031,0.2031,6,6,2.9827,138.0,CPU,1,data/series_1/CPU/summary_1.csv,boon,0.0681,,False,0.0681
butcher,2.447,7,199.0,385.0,36.2227,54.4727,7,7,22.261,584.0,CPU,1,data/series_1/CPU/summary_1.csv,butcher,2.447,,False,2.447
butcher8,17.1133,8,571.0,1333.0,57.5093,63.457,8,8,3.7081,1904.0,CPU,1,data/series_1/CPU/summary_1.csv,butcher8,17.1133,,False,17.1133
camera1s,1.1577,6,177.0,95.0,27.7773,55.3516,6,6,47.8117,272.0,CPU,1,data/series_1/CPU/summary_1.csv,camera1s,1.1577,,False,1.1577
caprasse,0.0832,4,65.0,194.0,0.3906,0.3906,4,4,4.695,259.0,CPU,1,data/series_1/CPU/summary_1.csv,caprasse,0.0832,,False,0.0832
cassou,1.9907,5,39.0,154.0,40.3333,62.1953,4,5,31.2429,193.0,CPU,1,data/series_1/CPU/summary_1.csv,cassou,1.9907,,False,1.9907
chandra4,0.0234,4,19.0,7.0,0.1875,0.1875,4,4,8.0128,26.0,CPU,1,data/series_1/CPU/summary_1.csv,chandra4,0.0234,,False,0.0234
chandra5,0.097,5,59.0,48.0,0.332,0.332,5,5,3.423,107.0,CPU,1,data/series_1/CPU/summary_1.csv,chandra5,0.097,,False,0.097
chandra6,0.4942,6,188.0,266.0,0.1992,0.1992,6,6,0.4031,454.0,CPU,1,data/series_1/CPU/summary_1.csv,chandra6,0.4942,,False,0.4942
chemequ,0.4083,5,81.0,60.0,0.2031,0.2031,5,5,0.4975,141.0,CPU,1,data/series_1/CPU/summary_1.csv,chemequ,0.4083,,False,0.4083
chemequs,1.0999,5,95.0,77.0,29.25,58.2969,5,5,53.002,172.0,CPU,1,data/series_1/CPU/summary_1.csv,chemequs,1.0999,,False,1.0999
chemkin,519.3553,11,2210.0,3917.0,207.9429,332.2539,11,11,0.6397,6127.0,CPU,1,data/series_1/CPU/summary_1.csv,chemkin,519.3553,,False,519.3553
cohn2,3.339,4,0.0,439.0,43.3955,59.9727,4,4,17.9613,439.0,CPU,1,data/series_1/CPU/summary_1.csv,cohn2,3.339,,False,3.339
cohn3,7193.2137,4,81.0,7359.0,587.6297,623.5469,4,4,0.0867,7440.0,CPU,1,data/series_1/CPU/summary_1.csv,cohn3,7193.2137,,False,7193.2137
comb3000,0.1001,10,151.0,19.0,0.2031,0.2031,10,10,2.0292,170.0,CPU,1,data/series_1/CPU/summary_1.csv,comb3000,0.1001,,False,0.1001
comb3000s,0.1231,10,151.0,20.0,0.2031,0.2031,10,10,1.6501,171.0,CPU,1,data/series_1/CPU/summary_1.csv,comb3000s,0.1231,,False,0.1231
conform1,0.0218,3,9.0,30.0,0.1875,0.1875,3,3,8.6009,39.0,CPU,1,data/series_1/CPU/summary_1.csv,conform1,0.0218,,False,0.0218
cpdm5,40.4242,5,348.0,2585.0,61.9123,64.5781,5,5,1.5975,2933.0,CPU,1,data/series_1/CPU/summary_1.csv,cpdm5,40.4242,,False,40.4242
cyclic5,0.2456,5,98.0,351.0,0.1992,0.1992,5,5,0.8112,449.0,CPU,1,data/series_1/CPU/summary_1.csv,cyclic5,0.2456,,False,0.2456
cyclic6,10.5899,6,548.0,3175.0,52.4812,58.9414,6,6,5.5658,3723.0,CPU,1,data/series_1/CPU/summary_1.csv,cyclic6,10.5899,,False,10.5899
d1,50.163,12,2279.0,1990.0,81.8532,104.6094,12,12,2.0854,4269.0,CPU,1,data/series_1/CPU/summary_1.csv,d1,50.163,,False,50.163
