test_key,0.5g,1g,4g
assur44,263.9252,324.9751,241.8274
benchmark_d1,56.53,59.4373,73.5498
benchmark_i1,249.9465,296.1905,241.2586
boon,0.0698,0.0833,0.0663
butcher,2.2702,2.9489,2.2569
butcher8,16.3916,21.2495,16.2677
camera1s,1.2123,1.3543,1.2361
caprasse,0.1148,0.1292,0.1135
cassou,1.9691,2.4246,1.9012
chandra4,0.0243,0.0287,0.0231
chandra5,0.1167,0.1141,0.1181
chandra6,0.6463,0.6295,0.6581
chemequ,0.4949,0.4925,0.4682
chemequs,1.0063,1.2731,0.9993
chemkin,518.4971,598.2644,394.2324
cohn2,3.0195,3.1888,2.7372
cohn3,7200.0,2693.8614,7200.0
comb3000,0.1222,0.1086,0.1151
comb3000s,0.1435,0.1282,0.1538
conform1,0.0226,0.0231,0.0218
cpdm5,34.855,43.4864,35.6036
cyclic5,0.3038,0.2615,0.3148
cyclic6,11.1207,14.5177,18.2415
d1,64.5426,61.1642,49.8314
des18_3,3.3019,4.2631,3.3027
des22_24,4.7538,4.93,5.0905
dessin1,3.3312,4.2052,3.3923
dessin2,6.3662,7.461,6.9819
eco7,1.585,1.766,1.7656
eco8,13.3733,16.5891,11.7377
eco9,147.4698,182.8818,172.8079
extcyc4,0.3536,0.3827,0.3251
extcyc5,57.3026,69.5888,59.6868
f633,1.2664,1.069,1.3761
f744,248.8223,217.8808,243.2493
fabrice24,107.0555,136.2122,105.1993
filter9,131.8091,184.0103,130.4272
geneig,0.5654,0.5902,0.5516
hairer1,0.033,0.0331,0.0324
hcyclic5,0.1435,0.1589,0.1625
hcyclic6,5.139,5.3359,5.0747
heart,0.0728,0.0706,0.0636
hemmecke,0.0443,0.0466,0.0428
hf744,170.3877,173.3241,167.8572
hietarinta1,104.7822,200.9979,168.5459
hunecke,0.0055,0.0054,0.0054
i1,247.5926,250.9532,231.9449
issac97,0.1383,0.1512,0.1323
jcf26,166.6975,279.1705,157.5828
katsura6,5.858,7.0576,5.8457
katsura7,48.862,57.3364,48.2182
katsura8,437.3055,529.9113,457.4518
kin1,43.6965,52.6781,44.772
kinema,5.2514,6.077,5.2516
kotsireas,,391.3275,412.8333
ku10,0.1357,0.1221,0.1282
lanconelli,0.0038,0.004,0.0039
lichtblau,0.6437,0.7076,0.6684
liu,0.0368,0.0489,0.0492
lorentz,0.0238,0.0235,0.0251
matrix,2.1108,2.0248,2.1207
mickey,0.0002,0.0003,0.0003
morgenstern,0.1649,0.1655,0.1619
noon5,6.9847,7.352,6.9996
noon6,177.7284,190.0096,172.4403
puma,0.0492,0.0561,0.0487
quadfor2,0.0016,0.0016,0.0015
quadgrid,0.0274,0.0278,0.0268
rabmo,2.067,2.146,2.0303
rbpl,181.6966,177.4181,244.1226
rbpl24,107.8549,110.466,120.3161
redcyc5,0.2552,0.2544,0.2822
redcyc6,9.6453,10.6081,10.7947
redeco10,164.3008,165.5321,157.6471
redeco7,0.7319,0.5586,0.5639
redeco8,4.2666,4.5003,3.5235
redeco9,21.8057,24.6456,25.4953
reif,0.0762,0.0757,0.0772
reimer4,4.3016,4.4627,4.275
reimer5,79.0985,84.4954,75.4382
rose,0.2069,0.2078,0.2111
s9_1,0.0658,0.0612,0.0591
solotarev,0.0087,0.0083,0.008
sparse5,0.0016,0.0016,0.0015
speer,8.9423,10.922,9.2626
tangents,1.5886,1.46,1.6182
test,0.0066,0.0061,0.0068
uteshev_bikker,0.4039,0.49,0.4344
vermeer,1.1347,0.901,0.8688
