test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
assur44,263.9252,8,1904.0,3478.0,149.2765,209.0625,8,8,0.7921,5382.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,assur44,263.9252,,False,263.9252
benchmark_D1,56.5300,12,2484.0,2267.0,79.4693,105.7266,12,12,1.8703,4751.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,benchmark_d1,56.53,,False,56.53
benchmark_i1,249.9465,10,3556.0,3613.0,211.2176,340.9414,10,10,1.3641,7169.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,benchmark_i1,249.9465,,False,249.9465
boon,0.0698,6,108.0,32.0,27.1289,52.543,6,6,752.7646,140.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,boon,0.0698,,False,0.0698
butcher,2.2702,7,194.0,363.0,41.3848,54.582,7,7,24.0428,557.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,butcher,2.2702,,False,2.2702
butcher8,16.3916,8,568.0,1325.0,56.9655,61.75,8,8,3.7672,1893.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,butcher8,16.3916,,False,16.3916
camera1s,1.2123,6,177.0,96.0,38.4492,58.1523,6,6,47.9686,273.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,camera1s,1.2123,,False,1.2123
caprasse,0.1148,4,65.0,183.0,27.1641,52.7148,4,4,459.1885,248.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,caprasse,0.1148,,False,0.1148
cassou,1.9691,5,39.0,155.0,46.1445,63.0156,4,5,32.0022,194.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,cassou,1.9691,,False,1.9691
chandra4,0.0243,4,19.0,7.0,26.8633,52.4531,4,4,2158.5648,26.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,chandra4,0.0243,,False,0.0243
chandra5,0.1167,5,59.0,42.0,27.4609,53.3125,5,5,456.8338,101.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,chandra5,0.1167,,False,0.1167
chandra6,0.6463,6,188.0,248.0,27.7051,54.1094,6,6,83.7218,436.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,chandra6,0.6463,,False,0.6463
chemequ,0.4949,5,84.0,61.0,28.1777,54.8828,5,5,110.8968,145.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,chemequ,0.4949,,False,0.4949
chemequs,1.0063,5,95.0,80.0,41.0846,62.4062,5,5,62.0156,175.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,chemequs,1.0063,,False,1.0063
chemkin,518.4971,11,2210.0,3906.0,208.8075,335.8828,11,11,0.6478,6116.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,chemkin,518.4971,,False,518.4971
cohn2,3.0195,4,0.0,456.0,46.8773,58.8086,4,4,19.4763,456.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,cohn2,3.0195,,False,3.0195
cohn3,TIMEOUT (7200.0000с),4,,,,,4,4,,,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,cohn3,,7200.0,True,7200.0
comb3000,0.1222,10,151.0,14.0,27.4746,53.5117,10,10,437.9028,165.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,comb3000,0.1222,,False,0.1222
comb3000s,0.1435,10,151.0,17.0,28.3359,55.1055,10,10,384.0102,168.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,comb3000s,0.1435,,False,0.1435
conform1,0.0226,3,9.0,31.0,26.9707,52.3008,3,3,2314.1939,40.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,conform1,0.0226,,False,0.0226
cpdm5,34.8550,5,339.0,2476.0,62.0188,65.1758,5,5,1.8699,2815.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,cpdm5,34.855,,False,34.855
cyclic5,0.3038,5,113.0,381.0,27.5488,53.5469,5,5,176.257,494.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,cyclic5,0.3038,,False,0.3038
cyclic6,11.1207,6,548.0,3168.0,54.0261,59.4414,6,6,5.3451,3716.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,cyclic6,11.1207,,False,11.1207
d1,64.5426,12,2767.0,2763.0,79.436,105.1758,12,12,1.6296,5530.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,d1,64.5426,,False,64.5426
des18_3,3.3019,8,275.0,375.0,45.1047,57.7891,8,8,17.5018,650.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,des18_3,3.3019,,False,3.3019
des22_24,4.7538,10,501.0,353.0,49.6892,60.0,10,10,12.6215,854.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,des22_24,4.7538,,False,4.7538
dessin1,3.3312,8,275.0,376.0,45.1555,57.6484,8,8,17.3056,651.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,dessin1,3.3312,,False,3.3312
dessin2,6.3662,10,558.0,323.0,51.5498,62.0078,10,10,9.7402,881.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,dessin2,6.3662,,False,6.3662
eco7,1.5850,7,262.0,214.0,36.6862,54.2812,7,7,34.2468,476.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,eco7,1.585,,False,1.585
eco8,13.3733,8,755.0,914.0,55.0083,60.3125,8,8,4.5099,1669.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,eco8,13.3733,,False,13.3733
eco9,147.4698,9,2277.0,3651.0,69.2088,71.2109,9,9,0.4829,5928.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,eco9,147.4698,,False,147.4698
extcyc4,0.3536,5,137.0,456.0,27.3945,53.5,5,5,151.3009,593.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,extcyc4,0.3536,,False,0.3536
extcyc5,57.3026,6,738.0,9176.0,70.714,86.6562,6,6,1.5123,9914.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,extcyc5,57.3026,,False,57.3026
f633,1.2664,10,318.0,594.0,35.9948,53.2031,9,10,42.0113,912.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,f633,1.2664,,False,1.2664
f744,248.8223,12,3711.0,4156.0,104.5929,120.0273,12,12,0.4824,7867.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,f744,248.8223,,False,248.8223
fabrice24,107.0555,9,1227.0,1010.0,107.3229,130.5273,9,9,1.2192,2237.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,fabrice24,107.0555,,False,107.0555
filter9,131.8091,9,5636.0,15637.0,83.7947,97.5234,9,9,0.7399,21273.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,filter9,131.8091,,False,131.8091
geneig,0.5654,6,94.0,51.0,27.8887,54.2148,6,6,95.8876,145.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,geneig,0.5654,,False,0.5654
hairer1,0.0330,8,42.0,24.0,26.8203,52.0898,6,8,1578.4801,66.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,hairer1,0.033,,False,0.033
hcyclic5,0.1435,6,89.0,545.0,27.5,53.2188,5,6,370.8624,634.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,hcyclic5,0.1435,,False,0.1435
hcyclic6,5.1390,7,273.0,4118.0,48.3052,56.4922,6,7,10.9928,4391.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,hcyclic6,5.139,,False,5.139
heart,0.0728,8,75.0,3.0,27.2754,53.1094,8,8,729.5244,78.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,heart,0.0728,,False,0.0728
hemmecke,0.0443,4,11.0,14.0,26.832,52.3711,3,4,1182.1917,25.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,hemmecke,0.0443,,False,0.0443
hf744,170.3877,13,1906.0,17996.0,76.7538,82.4648,12,13,0.484,19902.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,hf744,170.3877,,False,170.3877
hietarinta1,104.7822,10,3625.0,3143.0,92.5686,104.3945,62,10,0.9963,6768.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,hietarinta1,104.7822,,False,104.7822
hunecke,0.0055,5,1.0,15.0,26.7148,51.8594,8,5,9428.9773,16.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,hunecke,0.0055,,False,0.0055
i1,247.5926,12,3511.0,3498.0,187.958,234.4102,10,12,0.9468,7009.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,i1,247.5926,,False,247.5926
issac97,0.1383,4,25.0,15.0,27.873,53.6562,4,4,387.97,40.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,issac97,0.1383,,False,0.1383
jcf26,166.6975,34,3652.0,1007.0,129.9919,154.4766,34,34,0.9267,4659.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,jcf26,166.6975,,False,166.6975
katsura6,5.8580,7,280.0,428.0,49.228,56.3164,7,7,9.6136,708.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,katsura6,5.858,,False,5.858
katsura7,48.8620,8,719.0,1755.0,63.029,65.707,8,8,1.3447,2474.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,katsura7,48.862,,False,48.862
katsura8,437.3055,9,2237.0,7433.0,98.3085,104.6992,9,9,0.2394,9670.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,katsura8,437.3055,,False,437.3055
kin1,43.6965,12,2022.0,1816.0,77.7367,95.0078,12,12,2.1743,3838.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,kin1,43.6965,,False,43.6965
kinema,5.2514,9,377.0,319.0,48.4537,56.832,9,9,10.8223,696.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,kinema,5.2514,,False,5.2514
ku10,0.1357,10,795.0,126.0,27.1562,52.7539,10,10,388.7539,921.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,ku10,0.1357,,False,0.1357
lanconelli,0.0038,11,7.0,2.0,26.707,51.8555,4,11,13646.176,9.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,lanconelli,0.0038,,False,0.0038
lichtblau,0.6437,3,4.0,110.0,29.9258,58.3203,2,3,90.6017,114.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,lichtblau,0.6437,,False,0.6437
liu,0.0368,6,19.0,25.0,26.834,52.0898,4,6,1415.4849,44.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,liu,0.0368,,False,0.0368
lorentz,0.0238,4,30.0,25.0,26.6621,52.0547,4,4,2187.1717,55.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,lorentz,0.0238,,False,0.0238
matrix,2.1108,16,4951.0,6796.0,41.6934,54.2383,16,16,25.6956,11747.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,matrix,2.1108,,False,2.1108
mickey,0.0002,2,1.0,0.0,26.5859,51.6953,2,2,258476.5625,1.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,mickey,0.0002,,False,0.0002
morgenstern,0.1649,9,114.0,161.0,27.2188,52.5508,5,9,318.6827,275.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,morgenstern,0.1649,,False,0.1649
noon5,6.9847,5,304.0,1995.0,49.9536,56.6055,5,5,8.1042,2299.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,noon5,6.9847,,False,6.9847
noon6,177.7284,6,1427.0,16135.0,67.8498,69.6953,6,6,0.3921,17562.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,noon6,177.7284,,False,177.7284
puma,0.0492,8,84.0,7.0,27.3652,53.1719,8,8,1080.7292,91.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,puma,0.0492,,False,0.0492
quadfor2,0.0016,5,8.0,0.0,26.6699,51.7148,4,5,32321.7773,8.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,quadfor2,0.0016,,False,0.0016
