test_key,2,4
assur44,454.9651,448.1406
benchmark_d1,79.4604,78.2685
benchmark_i1,414.6667,408.4467
boon,0.1001,0.0986
butcher,3.6442,3.5895
butcher8,27.2172,26.8089
camera1s,1.6554,1.6306
caprasse,0.1554,0.1531
cassou,2.9873,2.9425
chandra4,0.0345,0.034
chandra5,0.1372,0.1351
chandra6,0.7634,0.7519
chemequ,0.5961,0.5872
chemequs,1.555,1.5317
chemkin,837.5702,825.0066
cohn2,3.9456,3.8864
cohn3,3771.406,3714.8349
comb3000,0.1306,0.1286
comb3000s,0.1542,0.1519
conform1,0.0277,0.0273
cpdm5,57.7888,56.922
cyclic5,0.3154,0.3107
cyclic6,18.4585,18.1816
d1,81.814,80.5868
des18_3,5.3002,5.2207
des22_24,6.1447,6.0525
dessin1,5.227,5.1486
dessin2,9.3684,9.2279
eco7,2.166,2.1335
eco8,21.1464,20.8292
eco9,255.2796,251.4504
extcyc4,0.4625,0.4556
extcyc5,93.3133,91.9136
f633,1.3031,1.2836
f744,305.0331,300.4576
fabrice24,185.0093,182.2342
filter9,256.8842,253.0309
geneig,0.7154,0.7047
hairer1,0.0397,0.0391
hcyclic5,0.1913,0.1884
hcyclic6,6.6598,6.5599
heart,0.0848,0.0835
hemmecke,0.056,0.0552
hf744,236.4975,232.95
hietarinta1,281.0595,276.8436
hunecke,0.0065,0.0064
i1,351.3345,346.0645
issac97,0.182,0.1793
jcf26,390.8387,384.9761
katsura6,8.8529,8.7201
katsura7,76.5989,75.4499
katsura8,741.8758,730.7477
kin1,70.2614,69.2075
kinema,7.6023,7.4883
kotsireas,547.8585,539.6406
ku10,0.1469,0.1447
lanconelli,0.0048,0.0047
lichtblau,0.859,0.8461
liu,0.0587,0.0578
lorentz,0.0282,0.0278
matrix,2.4882,2.4509
mickey,0.0004,0.0004
morgenstern,0.1993,0.1963
noon5,9.229,9.0906
noon6,265.4174,261.4361
puma,0.0674,0.0664
quadfor2,0.0019,0.0019
quadgrid,0.0334,0.0329
rabmo,2.6393,2.5997
rbpl,242.191,238.5581
rbpl24,149.4416,147.2
redcyc5,0.3068,0.3022
redcyc6,13.4074,13.2063
redeco10,225.6682,222.2832
redeco7,0.6768,0.6666
redeco8,5.6003,5.5163
redeco9,31.6583,31.1834
reif,0.091,0.0896
reimer4,5.5527,5.4694
reimer5,113.7238,112.0179
rose,0.2504,0.2466
s9_1,0.0735,0.0724
solotarev,0.01,0.0098
sparse5,0.0019,0.0019
speer,13.8118,13.6046
tangents,1.7862,1.7594
test,0.0073,0.0072
uteshev_bikker,0.5931,0.5842
vermeer,1.0963,1.0799
