test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
assur44,454.9651,8,1933,3552,145.3287,193.9805,8,8,0.4264,5485,SWAP,2,data/series_1/SWAP/summary_2.csv,assur44,454.9651,,False,454.9651
benchmark_D1,79.4604,12,2279,2003,80.1376,102.8828,12,12,1.2948,4282,SWAP,2,data/series_1/SWAP/summary_2.csv,benchmark_d1,79.4604,,False,79.4604
benchmark_i1,414.6667,10,3518,3556,186.4006,232.1406,10,10,0.5598,7074,SWAP,2,data/series_1/SWAP/summary_2.csv,benchmark_i1,414.6667,,False,414.6667
boon,0.1001,6,108,29,0.3984,0.3984,6,6,3.98,137,SWAP,2,data/series_1/SWAP/summary_2.csv,boon,0.1001,,False,0.1001
butcher,3.6442,7,199,393,40.6855,54.5352,7,7,14.9649,592,SWAP,2,data/series_1/SWAP/summary_2.csv,butcher,3.6442,,False,3.6442
butcher8,27.2172,8,569,1330,59.5572,66.7383,8,8,2.4521,1899,SWAP,2,data/series_1/SWAP/summary_2.csv,butcher8,27.2172,,False,27.2172
camera1s,1.6554,6,177,96,27.8301,54.9141,6,6,33.1727,273,SWAP,2,data/series_1/SWAP/summary_2.csv,camera1s,1.6554,,False,1.6554
caprasse,0.1554,4,65,188,0.1914,0.1914,4,4,1.2317,253,SWAP,2,data/series_1/SWAP/summary_2.csv,caprasse,0.1554,,False,0.1554
cassou,2.9873,5,39,154,39.2982,61.3008,4,5,20.5205,193,SWAP,2,data/series_1/SWAP/summary_2.csv,cassou,2.9873,,False,2.9873
chandra4,0.0345,4,19,7,1.0273,1.0273,4,4,29.7768,26,SWAP,2,data/series_1/SWAP/summary_2.csv,chandra4,0.0345,,False,0.0345
chandra5,0.1372,5,59,48,0.1992,0.1992,5,5,1.4519,107,SWAP,2,data/series_1/SWAP/summary_2.csv,chandra5,0.1372,,False,0.1372
chandra6,0.7634,6,188,262,0.0996,0.1992,6,6,0.2609,450,SWAP,2,data/series_1/SWAP/summary_2.csv,chandra6,0.7634,,False,0.7634
chemequ,0.5961,5,81,60,0.2031,0.2031,5,5,0.3407,141,SWAP,2,data/series_1/SWAP/summary_2.csv,chemequ,0.5961,,False,0.5961
chemequs,1.555,5,95,79,29.1094,57.8164,5,5,37.181,174,SWAP,2,data/series_1/SWAP/summary_2.csv,chemequs,1.555,,False,1.555
chemkin,837.5702,11,2210,3914,197.7055,324.6602,11,11,0.3876,6124,SWAP,2,data/series_1/SWAP/summary_2.csv,chemkin,837.5702,,False,837.5702
cohn2,3.9456,4,0,417,42.6172,57.9609,4,4,14.69,417,SWAP,2,data/series_1/SWAP/summary_2.csv,cohn2,3.9456,,False,3.9456
cohn3,3771.406,4,79,7341,507.8188,567.3125,4,4,0.1504,7420,SWAP,2,data/series_1/SWAP/summary_2.csv,cohn3,3771.406,,False,3771.406
comb3000,0.1306,10,151,19,0.2031,0.2031,10,10,1.5551,170,SWAP,2,data/series_1/SWAP/summary_2.csv,comb3000,0.1306,,False,0.1306
comb3000s,0.1542,10,151,20,0.3125,0.3125,10,10,2.0266,171,SWAP,2,data/series_1/SWAP/summary_2.csv,comb3000s,0.1542,,False,0.1542
conform1,0.0277,3,9,30,0.1992,0.1992,3,3,7.1913,39,SWAP,2,data/series_1/SWAP/summary_2.csv,conform1,0.0277,,False,0.0277
cpdm5,57.7888,5,348,2586,62.0093,64.6016,5,5,1.1179,2934,SWAP,2,data/series_1/SWAP/summary_2.csv,cpdm5,57.7888,,False,57.7888
cyclic5,0.3154,5,98,350,0.1992,0.1992,5,5,0.6316,448,SWAP,2,data/series_1/SWAP/summary_2.csv,cyclic5,0.3154,,False,0.3154
cyclic6,18.4585,6,564,3891,55.5917,63.3516,6,6,3.4321,4455,SWAP,2,data/series_1/SWAP/summary_2.csv,cyclic6,18.4585,,False,18.4585
d1,81.814,12,2279,1994,84.8789,106.082,12,12,1.2966,4273,SWAP,2,data/series_1/SWAP/summary_2.csv,d1,81.814,,False,81.814
des18_3,5.3002,8,275,375,44.3062,56.1133,8,8,10.587,650,SWAP,2,data/series_1/SWAP/summary_2.csv,des18_3,5.3002,,False,5.3002
des22_24,6.1447,10,501,370,47.1022,59.3164,10,10,9.6533,871,SWAP,2,data/series_1/SWAP/summary_2.csv,des22_24,6.1447,,False,6.1447
dessin1,5.227,8,275,377,44.3844,56.3086,8,8,10.7726,652,SWAP,2,data/series_1/SWAP/summary_2.csv,dessin1,5.227,,False,5.227
dessin2,9.3684,10,558,333,50.2432,60.7305,10,10,6.4825,891,SWAP,2,data/series_1/SWAP/summary_2.csv,dessin2,9.3684,,False,9.3684
eco7,2.166,7,261,217,35.8789,53.8203,7,7,24.8478,478,SWAP,2,data/series_1/SWAP/summary_2.csv,eco7,2.166,,False,2.166
eco8,21.1464,8,789,959,54.8079,59.4414,8,8,2.8109,1748,SWAP,2,data/series_1/SWAP/summary_2.csv,eco8,21.1464,,False,21.1464
eco9,255.2796,9,2206,3571,70.6546,72.8945,9,9,0.2855,5777,SWAP,2,data/series_1/SWAP/summary_2.csv,eco9,255.2796,,False,255.2796
extcyc4,0.4625,5,137,460,0.4062,0.4062,5,5,0.8783,597,SWAP,2,data/series_1/SWAP/summary_2.csv,extcyc4,0.4625,,False,0.4625
extcyc5,93.3133,6,738,9167,71.5584,86.8164,6,6,0.9304,9905,SWAP,2,data/series_1/SWAP/summary_2.csv,extcyc5,93.3133,,False,93.3133
f633,1.3031,10,318,627,26.3027,52.4023,9,10,40.2136,945,SWAP,2,data/series_1/SWAP/summary_2.csv,f633,1.3031,,False,1.3031
